Date,Experiment,Mode,Window,NumAgents,RunDir,TrainAcc_last,TrainLoss_last,ValAcc_best,ValAcc_best_epoch,ValLoss_at_best,TestAcc_class0,TestAcc_class1,TestAcc_class2
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_HN,0.7738510966300964,0.597971498966217,0.6620762944221497,2,0.7578201293945312,0.5983522534370422,0.5805520415306091,0.8073245286941528
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_HN-r3-f0.3,0.789680540561676,0.5715213418006897,0.6707759499549866,2,0.7414864301681519,0.6065307855606079,0.5886102318763733,0.8171868324279785
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_HN-r3-f0.5,0.6776067614555359,0.7416281700134277,0.6612744927406311,3,0.7702503204345703,0.6020807027816772,0.590895414352417,0.7908473014831543
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_HN-r5-f0.5_focal-g0.5,0.7810820937156677,0.3790004551410675,0.6678292751312256,3,0.5557953119277954,0.6019604206085205,0.5982921123504639,0.8032352924346924
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_HN_pairMask,0.8288233280181885,0.5042539834976196,0.6686511635780334,2,0.7501742839813232,0.6028023362159729,0.5996151566505432,0.8035359978675842
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g0.5-a0.4-0.4-0.2,0.7761968970298767,0.1308535486459732,0.682181715965271,2,0.1727832853794098,0.643333911895752,0.638703465461731,0.7645077705383301
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g0.5-a0.45-0.45-0.10,0.8392056226730347,0.09167207032442093,0.6659049391746521,3,0.17192895710468292,0.6430934071540833,0.6400865912437439,0.7145348191261292
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g0.5_a111,0.7736356854438782,0.3832651376724243,0.6851685047149658,2,0.5110660791397095,0.6142281293869019,0.6238499283790588,0.817427396774292
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g1.0_a111,0.7906307578086853,0.26900842785835266,0.6846673488616943,2,0.40386489033699036,0.615190327167511,0.6183174252510071,0.8204942941665649
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g1_a0.4-0.4-0.2,0.7997631430625916,0.08962665498256683,0.6768697500228882,2,0.1358300894498825,0.6309459209442139,0.631908118724823,0.7677551507949829
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g1_a0.5-0.5-0.1,0.7922282814979553,0.09543754905462265,0.6658648252487183,2,0.1392694115638733,0.6634794473648071,0.6395453810691833,0.6945697069168091
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g1p5_0.5-0.3-0.2,0.8047357201576233,0.05972133204340935,0.6580070853233337,3,0.10549628734588623,0.828853189945221,0.37380480766296387,0.7713632583618164
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g1p5_a0.45-0.45-0.1,0.7818220257759094,0.069119893014431,0.6682101488113403,2,0.0980936661362648,0.6563233137130737,0.6406879425048828,0.7076191902160645
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_focal-g2_0.5-0.3-0.2,0.8034181594848633,0.043283987790346146,0.6534969210624695,3,0.08490437269210815,0.8242828845977783,0.36755067110061646,0.7686571478843689
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_pairBoth,0.7426095604896545,0.632368266582489,0.6887565851211548,2,0.7078474760055542,0.6274580359458923,0.619038999080658,0.8197726607322693
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_pairId,0.8266856670379639,0.5042666792869568,0.6899192333221436,2,0.7069191336631775,0.629743218421936,0.6172950863838196,0.8227193355560303
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability_pairRel,0.7706810832023621,0.5934424996376038,0.6844067573547363,2,0.7111011147499084,0.612724781036377,0.622166097164154,0.8183294534683228
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/stability,0.8070544600486755,0.5383321046829224,0.6863511800765991,2,0.7144162654876709,0.6246917843818665,0.6132058501243591,0.8211557865142822
2025-09-01,threeway,threeway,20,140,runs/threeway/w20/140/base,0.7949955463409424,0.46276262402534485,0.6789544224739075,2,0.6686047315597534,0.6339527368545532,0.5753202438354492,0.8275903463363647
